DEPT,GR,RHOB,NPHI,RD
550.0,92.741,2.4928,0.3613,7.431
550.5,94.717,2.4878,0.3646,7.1236
551.0,95.791,2.4835,0.3688,7.034
551.5,94.087,2.4815,0.357,7.034
552.0,91.993,2.4783,0.3483,6.8334
552.5,89.774,2.4718,0.3521,6.5651
553.0,88.87,2.4648,0.3633,6.3545
553.5,89.887,2.4466,0.3779,6.3404
554.0,90.722,2.4049,0.4055,6.4017
554.5,91.56,2.3427,0.4306,6.472
555.0,92.412,2.3116,0.4523,6.543
555.5,93.1,2.3556,0.4344,6.614
556.0,93.752,2.4079,0.4085,7.0095
556.5,94.399,2.4285,0.3834,7.6752
557.0,94.997,2.42,0.3576,8.3922
557.5,96.965,2.4324,0.3346,9.11
558.0,99.278,2.4582,0.3214,9.5678
558.5,101.482,2.4832,0.3153,9.8592
559.0,100.79,2.5079,0.3079,10.1234
559.5,100.111,2.5253,0.2973,10.1381
560.0,99.226,2.5215,0.2906,10.053
560.5,98.735,2.517,0.2869,9.96
561.0,97.872,2.5195,0.2864,9.867
561.5,96.348,2.5297,0.2899,9.774
562.0,94.751,2.538,0.2888,9.681
562.5,93.567,2.536,0.2875,9.5888
563.0,93.739,2.5278,0.2924,9.4813
563.5,96.833,2.5203,0.2957,9.456
564.0,99.829,2.5168,0.2923,9.456
564.5,100.277,2.512,0.2851,9.456
565.0,100.527,2.5078,0.2769,9.456
565.5,100.719,2.5028,0.276,9.456
566.0,98.93,2.4975,0.2762,9.456
566.5,96.909,2.4928,0.2782,9.456
567.0,94.845,2.4935,0.2807,9.456
567.5,92.606,2.4995,0.2883,9.456
568.0,92.834,2.5057,0.2998,9.456
568.5,94.892,2.5127,0.2975,9.2872
569.0,96.779,2.518,0.2924,9.0754
569.5,98.65,2.5175,0.2872,8.8654
570.0,99.952,2.5148,0.2896,8.6554
570.5,98.555,2.5093,0.2959,8.4454
571.0,97.557,2.5025,0.3043,8.1123
571.5,100.168,2.4963,0.3071,7.6503
572.0,100.055,2.4912,0.3075,7.1605
572.5,99.052,2.4942,0.3027,6.5877
573.0,96.521,2.501,0.3008,5.8877
573.5,94.373,2.4983,0.3092,5.1569
574.0,92.156,2.4823,0.3208,4.4259
574.5,89.864,2.4291,0.3288,3.6949
575.0,87.581,2.3029,0.3539,2.9647
575.5,82.781,2.1515,0.5302,2.5654
576.0,79.031,2.013,0.691,2.466
576.5,79.49,2.0042,0.6911,2.4175
577.0,81.072,2.0055,0.6846,2.6851
577.5,84.063,2.0295,0.6113,3.3718
578.0,86.76,2.139,0.5272,4.1531
578.5,89.518,2.3115,0.4423,4.9343
579.0,92.267,2.4474,0.3623,5.7156
579.5,95.042,2.4853,0.3207,6.4502
580.0,96.456,2.4838,0.3086,7.1575
580.5,97.235,2.4781,0.2962,7.6266
581.0,98.191,2.473,0.2889,7.5923
581.5,96.879,2.4687,0.288,7.3562
582.0,95.194,2.4657,0.2883,7.3558
582.5,96.055,2.464,0.2913,7.5582
583.0,96.873,2.4678,0.2943,7.8051
583.5,99.391,2.4765,0.2982,7.8335
584.0,101.838,2.4831,0.3075,7.7987
584.5,104.641,2.4732,0.3032,7.7637
585.0,104.313,2.4574,0.3054,7.7279
585.5,103.134,2.4547,0.3091,7.6927
586.0,101.642,2.456,0.3098,7.6576
586.5,101.635,2.4677,0.3083,7.6226
587.0,101.62,2.4889,0.3114,7.5876
587.5,101.629,2.514,0.3154,7.5518
588.0,101.626,2.5196,0.3192,7.5166
588.5,102.178,2.5076,0.3204,7.4816
589.0,102.462,2.4945,0.3158,7.4466
589.5,102.234,2.4822,0.3141,7.4116
590.0,101.766,2.4708,0.3163,7.3758
